rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
29;spotify:track:5TyFg2tdUPtBVKm7ZRevGk;Helene Olafsen, Norges Nye Megahit;Ludvig Daae;All In/GG Music;1;25;10;244973
30;spotify:track:4c2FHHtnHFMWs5vpbGXr6i;Astrid S, Dagny;Pretty;Universal Music AS;10;28;7;244227
31;spotify:track:3rmo8F54jFF8OgYsqTxm5d;Ed Sheeran;Bad Habits;Atlantic Records UK;1;29;31;238260
32;spotify:track:2K7xn816oNHJZ0aVqdQsha;The Neighbourhood;Softcore;Columbia;26;26;4;224660
33;spotify:track:2nIgV90BbhZqq3RXazLV1w;Kris Winther, LamboLaz, SuperJonny, Lil Holmie, Rapposaurus Rex;Barock 2021 (Nesbrurussen);FLAME;17;31;37;224198
34;spotify:track:0zqBZqm5czQ3A4EoSdKFHj;Alan Walker, Benjamin Ingrosso;Man On The Moon;MER Recordings;24;30;9;223930
35;spotify:track:0anBi4abqUhf7qvGrk5ALE;Hagle, Ringnes-Ronny;Medbrakt;Universal Music AS;20;33;3;211934
36;spotify:track:5Z9KJZvQzH6PFmb8SNkxuk;Lil Nas X, Jack Harlow;INDUSTRY BABY (feat. Jack Harlow);Columbia;3;34;27;211628
37;spotify:track:1bjhYUwKUHEg5fHknxFObO;Frank Ocean;Lost;Red Zone Entertainment / IDJ;37;39;2;210242
38;spotify:track:0gG0dF1yexUsE8OO7mq8Kn;Sportsalleen, gangCBang;Suksé 2022 (Hjemmesmæck);Blue Balls Records;38;45;7;209389
39;spotify:track:6QLNcOI6YCqdLAS6GLWXMj;Griff, Sigrid;Head on Fire;Warner Records;39;-1;1;208439
40;spotify:track:20on25jryn53hWghthWWW3;ACRAZE, Cherish;Do It To It;Thrive Music, LLC;26;36;13;200257
41;spotify:track:23IfaTlFcjfs7PZKyXLdjb;Jørgen Dahl Moe;Dancing In The Dark - Live;Universal Music AS;16;19;3;198798
42;spotify:track:2w7Qohb7bKFnfiCokYH0wD;Chris Holsten;Bare når det regner;WM Norway;9;46;32;198627
43;spotify:track:52xJxFP6TqMuO4Yt0eOkMz;Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast;We Don't Talk About Bruno;Walt Disney Records;43;44;4;194594
44;spotify:track:0PjGxOaBFjQfesMeT5HbAw;Kudos, Madcum;Klask 2022 (Hjemmesnekk);KudosMusic;32;35;10;188861
45;spotify:track:3Kkjo3cT83cw09VJyrLNwX;Adele;Oh My God;Columbia;5;37;10;186667
46;spotify:track:0tig7XFHhhSErWaXdeq5Oj;Julie Bergan, Ruben;Second Hand Love (feat. Ruben);WM Norway;32;40;9;184575
47;spotify:track:5rW7qTn83sCKtqBoneJs63;bbno$, Rich Brian;edamame (feat. Rich Brian);bbno$;22;41;23;181624
48;spotify:track:1beuDJXaekLPtvX1jQe0yx;Kamelen;Creme De La Creme;KingPin Records;33;42;40;181400
49;spotify:track:1QmZQRvNUOvRxtSH9VCPF4;Highasakite;Mother;Propeller Recordings;38;38;2;168998
50;spotify:track:3XOalgusokruzA5ZBA2Qcb;Gunna, Future, Young Thug;pushin P (feat. Young Thug);300 Entertainment;50;73;2;162980
;regional-no-weekly-2022-01-27;;(Spotify Charts - Spotify Charts Are Made by Fans, 2022);;Spotify Charts - Spotify Charts are made by fans. (2022b, April 28). https://charts.spotify.com/charts/view/regional-no-weekly/2022-04-28;;;
;;;;;;;;
;;;;;;;;
1;spotify:track:56kyGGwLIVAR30ZFiASn8Q;Ballinciaga, David Mokel;Dans På Bordet;Virgin Music Label And Artist Services;1;1;11;1248785
2;spotify:track:2kPukYbkTVuvaNn4HhIPBW;Ballinciaga, Kris Winther;Beklager (Guttaklubben);Virgin Music Label And Artist Services;2;3;4;967954
3;spotify:track:4LRPiXqCikLlN15c3yImP7;Harry Styles;As It Was;Columbia;2;2;4;902023
4;spotify:track:25DxQM0bG7kbj2js8NCO9v;Beathoven, Henrik von Grogg;STAY KEEG;WM Norway;4;-1;1;824234
5;spotify:track:70KdADbxWK0MAVXj0YvWDi;Roc Boyz, Greekazo;Bonanza (feat. Greekazo);Virgin Music Label And Artist Services;2;4;5;783296
6;spotify:track:4olmG0sFJ6L0LVI8ssiZFz;vinni;glorie;MER Recordings AS;4;5;20;743692
7;spotify:track:56oWBEoaWwiyaPLe0PqB0k;Kevin Lauren, Ballinciaga;TANTE;Universal Music AS Distributed Labels;3;6;8;629538
